name,nameEn,levels,category,districts,schoolIds,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"培僑國際幼稚園(碧濤花園)","PUI KIU INTERNATIONAL KINDERGARTEN (PICTORIAL GARDEN)","幼稚園","國際","沙田區","edb_622389000112;edb_622389000113;edb_622389000111","","",0,0
"鰂魚涌小學","QUARRY BAY SCHOOL","小學","國際","東區","edb_170895000123","BRITISH","ENGLISH",139000,139000
"啓新書院","RENAISSANCE COLLEGE","小學;中學","國際","沙田區","edb_567485000123;edb_567485000133","IB","ENGLISH",145800,189900
"聖姬莉國際幼稚園","SAINT BRIGIT INTERNATIONAL KINDERGARTEN","幼稚園","國際","九龍城區","edb_597538000211;edb_597538000212","","",0,0
"弘爵國際學校","SEAR ROGERS INTERNATIONAL SCHOOL","小學;中學","國際","荃灣區","edb_534579000123;edb_534579000133","IB","ENGLISH",0,0
"SHATIN COLLEGE","SHATIN COLLEGE","中學","國際","沙田區","edb_190314000233","IB","ENGLISH",159400,181100
"SHATIN JUNIOR SCHOOL","SHATIN JUNIOR SCHOOL","小學","國際","沙田區","edb_190543000123","BRITISH","ENGLISH",139000,139000
"思貝禮國際學校","SHREWSBURY INTERNATIONAL SCHOOL HONG KONG","小學","國際","西貢區","edb_607525000123","BRITISH","ENGLISH",143500,177000
"新加坡國際學校","SINGAPORE INTERNATIONAL SCHOOL (HONG KONG)","幼稚園;小學;中學","國際","南區","edb_216003000211;edb_216003000212;edb_216003000223;edb_216003000433","OTHER_INTL","ENGLISH;PUTONGHUA",123000,274900
"香港西班牙學校","SPANISH SCHOOL OF HONG KONG","小學;中學","國際","大埔區","edb_609498000223;edb_609498000123;edb_609498000133;edb_609498000233","OTHER_INTL","SPANISH;ENGLISH;CANTONESE",85000,138000
"國際英文幼稚園","ST. CATHERINE'S INTERNATIONAL KINDERGARTEN","幼稚園","國際","九龍城區","edb_215120000111;edb_215120000211;edb_215120000212;edb_215120000112","","",0,0
"STAMFORD AMERICAN SCHOOL HONG KONG","STAMFORD AMERICAN SCHOOL HONG KONG","小學;中學","國際","九龍城區","edb_605638000123;edb_605638000133","AMERICAN","ENGLISH",217100,264000
"STAMFORD AMERICAN SCHOOL HONG KONG (WEST KOWLOON)","STAMFORD AMERICAN SCHOOL HONG KONG (WEST KOWLOON)","中學","國際","油尖旺區","edb_626864000133","AMERICAN","ENGLISH",239900,264000
"蒙特梭利國際學校","THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL","幼稚園;小學;中學","國際","南區","edb_548430000611;edb_548430000311;edb_548430000312;edb_548430000711;edb_548430000411;edb_548430000412;edb_548430000623;edb_548430000633","OTHER_INTL","ENGLISH;PUTONGHUA",143000,206500
"THE SOUTH ISLAND SCHOOL","THE SOUTH ISLAND SCHOOL","中學","國際","南區","edb_170836000133","IB","ENGLISH",159400,181100
"朗思國際幼稚園","THINK INTERNATIONAL KINDERGARTEN","幼稚園","國際","觀塘區","edb_216267000111;edb_216267000113;edb_216267000112","","",0,0
"朗思國際幼稚園（馬鞍山）","THINK INTERNATIONAL KINDERGARTEN (MA ON SHAN)","幼稚園","國際","沙田區","edb_533360000212;edb_533360000211;edb_533360000213","","",0,0
