id,name,nameEn,level,category,rawCategory,district,district18,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"edb_612782000111","朗思國際幼稚園(南昌)","THINK INTERNATIONAL KINDERGARTEN (NAM CHEONG)","幼稚園","國際","私立","九龍","深水埗區","","",0,0
"edb_612782000112","朗思國際幼稚園(南昌)","THINK INTERNATIONAL KINDERGARTEN (NAM CHEONG)","幼稚園","國際","私立","九龍","深水埗區","","",0,0
"edb_602000000113","德怡國際幼稚園(元朗)","TOPKIDS INTERNATIONAL KINDERGARTEN (YUEN LONG)","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_602000000112","德怡國際幼稚園（元朗）","TOPKIDS INTERNATIONAL KINDERGARTEN (YUEN LONG)","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_602000000111","德怡國際幼稚園（元朗）","TOPKIDS INTERNATIONAL KINDERGARTEN (YUEN LONG)","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_575852000112","多多寶馬山國際幼稚園","TUTOR TIME BRAEMAR HILL INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","港島","東區","","",0,0
"edb_575852000111","多多寶馬山國際幼稚園","TUTOR TIME BRAEMAR HILL INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","港島","東區","","",0,0
"edb_542504000111","多多國際幼稚園（九龍塘）","TUTOR TIME INTERNATIONAL KINDERGARTEN (KOWLOON TONG)","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_542504000112","多多國際幼稚園（九龍塘）","TUTOR TIME INTERNATIONAL KINDERGARTEN (KOWLOON TONG)","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_593133000111","多多國際幼稚園（半山）","TUTOR TIME INTERNATIONAL KINDERGARTEN (MID LEVELS)","幼稚園","國際","私立","港島","中西區","","",0,0
"edb_593133000112","多多國際幼稚園（半山）","TUTOR TIME INTERNATIONAL KINDERGARTEN (MID LEVELS)","幼稚園","國際","私立","港島","中西區","","",0,0
"edb_605794000111","多多國際幼稚園（形點）","TUTOR TIME INTERNATIONAL KINDERGARTEN (YOHO)","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_605794000112","多多國際幼稚園（形點）","TUTOR TIME INTERNATIONAL KINDERGARTEN (YOHO)","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_618039000112","維多利亞(何文田)國際幼稚園","VICTORIA (HOMANTIN) INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",105280,206510
"edb_618039000111","維多利亞(何文田)國際幼稚園","VICTORIA (HOMANTIN) INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",105280,206510
"edb_566900000112","維多利亞（何文田）國際幼兒園","VICTORIA (HOMANTIN) INTERNATIONAL NURSERY","幼稚園","國際","私立","九龍","九龍城區","","",105280,206510
"edb_566900000113","維多利亞（何文田）國際幼兒園","VICTORIA (HOMANTIN) INTERNATIONAL NURSERY","幼稚園","國際","私立","九龍","九龍城區","","",105280,206510
"edb_566900000111","維多利亞（何文田）國際幼兒園","VICTORIA (HOMANTIN) INTERNATIONAL NURSERY","幼稚園","國際","私立","九龍","九龍城區","","",105280,206510
"edb_619850000111","維多利亞(海之戀)國際幼稚園","VICTORIA (OCEAN PRIDE) INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","新界","荃灣區","","",102400,127919
"edb_619850000112","維多利亞(海之戀)國際幼稚園","VICTORIA (OCEAN PRIDE) INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","新界","荃灣區","","",102400,127919
"edb_216194000111","維多利亞（海怡）國際幼稚園","VICTORIA (SOUTH HORIZONS) INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","港島","南區","","",110520,207140
"edb_216194000113","維多利亞（海怡）國際幼稚園","VICTORIA (SOUTH HORIZONS) INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","港島","南區","","",110520,207140
"edb_216194000112","維多利亞（海怡）國際幼稚園","VICTORIA (SOUTH HORIZONS) INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","港島","南區","","",110520,207140
"edb_560138000223","滬江維多利亞學校","VICTORIA SHANGHAI ACADEMY","小學","國際","私立","港島","南區","IB","ENGLISH;PUTONGHUA",181200,200700
"edb_560138000233","滬江維多利亞學校","VICTORIA SHANGHAI ACADEMY","中學","國際","私立","港島","南區","IB","ENGLISH;PUTONGHUA",203700,255600
