officialId,officialNameZh,officialNameEn,schoolType,level,district,financeType,website
158550000111,救世軍吳國偉紀念幼稚園,THE SALVATION ARMY NG KWOK WAI MEMORIAL KINDERGARTEN,幼稚園,KINDERGARTEN,TSUEN WAN,PRIVATE,http://www.salvationarmy.org.hk/esd/nkwkg
158763000111,基督徒信望愛堂華明幼稚園,THE CHRISTIAN THE FAITH HOPE LOVE CHURCH WAH MING KINDERGARTEN,幼稚園,KINDERGARTEN,NORTH,PRIVATE,http://www.fhlwmkg.edu.hk
158313000113,新界神召會懷恩幼稚園,N.T. ASSEMBLIES OF GOD CHURCH WAI YAN KINDERGARTEN,幼稚園,KINDERGARTEN,YUEN LONG,PRIVATE,http://waiyankin.edu.hk
157813000112,保良局田家炳幼稚園,PO LEUNG KUK TIN KA PING KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,http://www.plkkgs.edu.hk/plktkpkg
157813000111,保良局田家炳幼稚園,PO LEUNG KUK TIN KA PING KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,http://www.plkkgs.edu.hk/plktkpkg
158763000113,基督徒信望愛堂華明幼稚園,THE CHRISTIAN THE FAITH HOPE LOVE CHURCH WAH MING KINDERGARTEN,幼稚園,KINDERGARTEN,NORTH,PRIVATE,http://www.fhlwmkg.edu.hk
216275000612,香港澳洲國際學校,AUSTRALIAN INTERNATIONAL SCHOOL HONG KONG,幼稚園,KINDERGARTEN,KOWLOON CITY,PRIVATE,http://www.aishk.edu.hk
319511000111,中華基督教會深愛堂幼稚園,THE CHURCH OF CHRIST IN CHINA SHUM OI CHURCH KINDERGARTEN,幼稚園,KINDERGARTEN,SHAM SHUI PO,PRIVATE,http://sockg.edu.hk
216275000613,香港澳洲國際學校,AUSTRALIAN INTERNATIONAL SCHOOL HONG KONG,幼稚園,KINDERGARTEN,KOWLOON CITY,PRIVATE,http://www.aishk.edu.hk
216275000611,香港澳洲國際學校,AUSTRALIAN INTERNATIONAL SCHOOL HONG KONG,幼稚園,KINDERGARTEN,KOWLOON CITY,PRIVATE,http://www.aishk.edu.hk
