school_name_en,school_name_zh,edb_id,level,district,baseName
INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (KINDERGARTEN SECTION),INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (KINDERGARTEN SECTION),edb_230944000113,幼稚園,大埔區,INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN
INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (KINDERGARTEN SECTION),INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (KINDERGARTEN SECTION),edb_230944000111,幼稚園,大埔區,INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN
ISLAND MONTESSORI INTERNATIONAL KINDERGARTEN,港島蒙特梭利國際幼稚園,edb_607223000111,幼稚園,東區,ISLAND MONTESSORI INTERNATIONAL KINDERGARTEN
ISLAND MONTESSORI INTERNATIONAL KINDERGARTEN,港島蒙特梭利國際幼稚園,edb_607223000112,幼稚園,東區,ISLAND MONTESSORI INTERNATIONAL KINDERGARTEN
ITALIAN INTERNATIONAL KINDERGARTEN,意大利國際幼稚園,edb_611646000111,幼稚園,南區,ITALIAN INTERNATIONAL KINDERGARTEN
ITALIAN INTERNATIONAL KINDERGARTEN,意大利國際幼稚園,edb_611646000113,幼稚園,南區,ITALIAN INTERNATIONAL KINDERGARTEN
ITALIAN INTERNATIONAL KINDERGARTEN,意大利國際幼稚園,edb_611646000112,幼稚園,南區,ITALIAN INTERNATIONAL KINDERGARTEN
JING JING INTERNATIONAL KINDERGARTEN,晶晶國際幼稚園,edb_587524000111,幼稚園,屯門區,JING JING INTERNATIONAL KINDERGARTEN
JING JING INTERNATIONAL KINDERGARTEN,晶晶國際幼稚園,edb_587524000112,幼稚園,屯門區,JING JING INTERNATIONAL KINDERGARTEN
JING JING INTERNATIONAL KINDERGARTEN,晶晶國際幼稚園,edb_587524000113,幼稚園,屯門區,JING JING INTERNATIONAL KINDERGARTEN
JOYFUL WORLD INTERNATIONAL KINDERGARTEN (TUEN MUN),心怡天地國際幼稚園(屯門),edb_615170000112,幼稚園,屯門區,JOYFUL WORLD INTERNATIONAL KINDERGARTEN
JOYFUL WORLD INTERNATIONAL KINDERGARTEN (TUEN MUN),心怡天地國際幼稚園(屯門),edb_615170000111,幼稚園,屯門區,JOYFUL WORLD INTERNATIONAL KINDERGARTEN
JOYFUL WORLD INTERNATIONAL KINDERGARTEN (YUEN LONG),心怡天地國際幼稚園(元朗),edb_612189000111,幼稚園,元朗區,JOYFUL WORLD INTERNATIONAL KINDERGARTEN
JOYFUL WORLD INTERNATIONAL KINDERGARTEN (YUEN LONG),心怡天地國際幼稚園(元朗),edb_612189000112,幼稚園,元朗區,JOYFUL WORLD INTERNATIONAL KINDERGARTEN
KENDALL INTERNATIONAL PRESCHOOL,漢迪國際幼稚園,edb_607703000111,幼稚園,深水埗區,KENDALL INTERNATIONAL PRESCHOOL
KENDALL INTERNATIONAL PRESCHOOL,漢迪國際幼稚園,edb_607703000112,幼稚園,深水埗區,KENDALL INTERNATIONAL PRESCHOOL
KENDALL INTERNATIONAL PRESCHOOL (ISLAND EAST),漢廸國際幼稚園(港島東),edb_325783000112,幼稚園,東區,KENDALL INTERNATIONAL PRESCHOOL
KENDALL INTERNATIONAL PRESCHOOL (ISLAND EAST),漢廸國際幼稚園(港島東),edb_325783000111,幼稚園,東區,KENDALL INTERNATIONAL PRESCHOOL
LANTAU INTERNATIONAL SCHOOL,LANTAU INTERNATIONAL SCHOOL,edb_518620000223,小學,離島區,LANTAU INTERNATIONAL SCHOOL
LANTAU INTERNATIONAL SCHOOL,LANTAU INTERNATIONAL SCHOOL,edb_518620000423,小學,離島區,LANTAU INTERNATIONAL SCHOOL
LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL,LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL,edb_614904000112,幼稚園,中西區,LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL
LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL,LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL,edb_614904000111,幼稚園,中西區,LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL
LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL (TSEUNG KWAN O),LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL (TSEUNG KWAN O),edb_614998000111,幼稚園,西貢區,LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL
LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL (TSEUNG KWAN O),LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL (TSEUNG KWAN O),edb_614998000112,幼稚園,西貢區,LES PETITS LASCARS FRENCH INTERNATIONAL PRESCHOOL
LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL),LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL),edb_214949000523,小學,東區,LYC'EE FRANCAIS INTERNATIONAL
LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL),LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL),edb_214949000723,小學,東區,LYC'EE FRANCAIS INTERNATIONAL
LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL),LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL),edb_214949000733,中學,東區,LYC'EE FRANCAIS INTERNATIONAL
MAGART INTERNATIONAL KINDERGARTEN,瑪歌瑞特國際幼稚園,edb_610623000111,幼稚園,九龍城區,MAGART INTERNATIONAL KINDERGARTEN
MAGART INTERNATIONAL KINDERGARTEN,瑪歌瑞特國際幼稚園,edb_610623000113,幼稚園,九龍城區,MAGART INTERNATIONAL KINDERGARTEN
MAGART INTERNATIONAL KINDERGARTEN,瑪歌瑞特國際幼稚園,edb_610623000112,幼稚園,九龍城區,MAGART INTERNATIONAL KINDERGARTEN
MAGART INTERNATIONAL KINDERGARTEN (FANLING),瑪歌瑞特國際幼稚園(粉嶺),edb_566241000113,幼稚園,北區,MAGART INTERNATIONAL KINDERGARTEN
MAGART INTERNATIONAL KINDERGARTEN (FANLING),瑪歌瑞特國際幼稚園(粉嶺),edb_566241000111,幼稚園,北區,MAGART INTERNATIONAL KINDERGARTEN
MAGART INTERNATIONAL KINDERGARTEN (FANLING),瑪歌瑞特國際幼稚園(粉嶺),edb_566241000112,幼稚園,北區,MAGART INTERNATIONAL KINDERGARTEN
MAGART INTERNATIONAL KINDERGARTEN (KORNHILL),瑪歌瑞特國際幼稚園(康怡),edb_215767000111,幼稚園,東區,MAGART INTERNATIONAL KINDERGARTEN
MAGART INTERNATIONAL KINDERGARTEN (KORNHILL),瑪歌瑞特國際幼稚園(康怡),edb_215767000112,幼稚園,東區,MAGART INTERNATIONAL KINDERGARTEN
